Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.81754519073921E-05,-2.87135430654255E-05,0.00841445309914673,0,0,0,0.2861740541722,0.000283439751778858,5.15430550569996E-08,-2.11883982018778E-09,0.000307022219268237,-6.07957430368969E-10,0.000573930819691037,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.000937646185185953,-0.000363200104454252,0.017724473773586,0,0,0,0.112138580748854,7.1809540103737E-05,5.29512662302798E-09,3.04004606103732E-06,3.3372787296774E-05,-1.06926895701702E-08,7.31438430706663E-05,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link1.STL,,link1-1,link1,axis1,joint1,revolute,0,0,0.0509,0,0,0,base_link,0,0,1,10,36,-2.4,2.4,,,,,,,,
link2,-0.0752490225609383,0.00195717655487602,0.000795066506573364,0,0,0,0.222992471089573,4.58511408999451E-05,1.48690763841392E-08,8.32057829700585E-06,0.000410647824066141,1.14885488827662E-09,0.000382459634580094,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link2.STL,,link2-1,link2,axis2,joint2,revolute,0.0145588093706476,0,0.043,0,0,0,link1,0,-1,0,10,36,0,3.4,,,,,,,,
link3,0.0778287003633619,0.00100413956217115,0.0406027786351832,0,0,0,0.181861028842967,6.22741044988763E-05,7.33580170148683E-07,6.21156988070814E-05,0.000344253280075812,2.56013279088145E-07,0.000299035369376285,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link3.STL,,link3-1,link3,axis3,joint3,revolute,-0.156,0,0,0,0,0,link2,0,-1,0,10,36,0,3.4,,,,,,,,
link4,0.0371046614879388,2.48054696193454E-05,0.0298214705891783,0,0,0,0.0917479578354415,3.99723104324328E-05,5.17028526108336E-08,7.27313818350768E-06,2.98909627439861E-05,-3.18567117832621E-09,5.28598575051469E-05,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link4.STL,,link4-1,link4,axis4,joint4,revolute,0.137999999999997,0,0.0499999999999999,0,0,0,link3,0,-1,0,10,36,-1.7,1.7,,,,,,,,
link5,0.00163555509482402,-6.86701478668449E-05,-0.0254695529477263,0,0,0,0.0723238064290107,1.56844540151017E-05,2.33905638106609E-09,3.34354418652062E-08,1.18377232550836E-05,5.11047910127521E-08,1.38708466939867E-05,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link5.STL,,link5-1,link5,axis5,joint5,revolute,0.0550000000000035,0,0.0308781639322254,0,0,0,link4,0,0,-1,3.7,60,-1.7,1.7,,,,,,,,
link6,0.00491171194554647,3.24724189844782E-12,0.000236602402152258,0,0,0,0.0123808389352235,9.44576753568983E-07,-3.07532048036139E-17,-9.06869357885819E-10,6.41459660763183E-07,4.1681110231471E-16,5.96432193039218E-07,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/link6.STL,,link6-2,link6,axis6,joint6,revolute,0.0185999999999977,0,-0.0330000000000016,0,0,0,link5,1,0,0,3.7,60,-3.14,3.14,,,,,,,,
R_finger,-0.0665513053302189,-0.0168637833220831,0.000510464525271231,0,0,0,0.127457990512492,2.28803355388256E-05,4.20099870624986E-06,-3.42841892601057E-07,5.15650351948177E-05,-5.67310171384371E-10,4.64985980845201E-05,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/R_finger.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/R_finger.STL,,R_finger-1,R_finger,gripper_axis,R_finger_joint,prismatic,0.165,0,0,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
L_finger,-0.0665513053307253,0.0168637833221042,-0.000510235194076225,0,0,0,0.127457990511979,2.28803355389149E-05,-4.20099870615684E-06,3.42841892362126E-07,5.15650351903207E-05,-5.67310158184507E-10,4.6498598079908E-05,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/L_finger.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/L_finger.STL,,L_finger-1,L_finger,gripper_axis,L_finger_joint,prismatic,0.165,0,0,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
gripper_center,-0.123183748651091,-4.83923293203893E-05,-3.75244690079823E-05,0,0,0,0.0969304971507011,9.06334704672063E-05,2.21890810267114E-09,-4.10704620371571E-09,1.13202586691018E-05,4.83663479833145E-08,8.43793149524868E-05,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/gripper_center.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://xlerobot_ht_description/meshes/gripper_center.STL,,gripper_center-1/hightorque3536-1;gripper_center-1/Gripper-Arm_Connect_A-1;gripper_center-1/hex_socket_low_button_head_M3x10-1;gripper_center-1/hex_socket_low_button_head_M3x10-2;gripper_center-1/hex_socket_low_button_head_M3x10-3;gripper_center-1/Gripper_Connect_A-1;gripper_center-1/MGN9 Rail-1;gripper_center-1/hex_socket_flat_head_M3x08-3;gripper_center-1/hex_socket_flat_head_M3x08-1;gripper_center-1/hex_socket_flat_head_M3x08-4;gripper_center-1/hex_socket_flat_head_M3x08-2,gripper_center,Axis_gripper_center_joint,gripper_center_joint,fixed,0.165,0,0,0,0,0,link6,0,0,0,,,,,,,,,,,,
